,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPA,TPM,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
321,AJ Price,CLE,28,26,11,15,12.4,5.1,2,5.3,2.2,0.5786,0.6,0.9,0.2,1,1.8,0.5,0.3,0,0.6,9.5,0,0,-2.5
320,Shabazz Napier,MIA,23,51,24,27,19.8,5.1,1.7,4.5,2.3,0.8372,0.9,1.1,0.3,1.9,2.5,1.6,0.8,0.1,1.5,12.6,0,0,-0.6
319,Ronnie Price,LAL,32,43,13,30,22.8,5.1,1.8,5.2,2.5,0.71,0.8,1,0.4,1.2,3.8,1.2,1.6,0.1,2.7,16.6,0,0,-1.7
318,Dante Cunningham,NOP,28,66,37,29,25,5.2,2.3,5.1,0.2,0.02,0.4,0.7,1.1,2.8,0.8,0.5,0.7,0.6,1.5,14.2,1,0,-0.5
317,Aaron Gordon,ORL,19,47,14,33,17,5.2,2,4.4,1,271,0.9,1.3,1,2.6,0.7,0.8,0.4,0.5,1.8,12.5,1,0,-3.5
316,Kosta Koufos,MEM,26,81,55,26,16.6,5.2,2.2,4.4,0,0,0.7,1,1.5,3.8,0.5,0.9,0.4,0.8,1.8,14.7,0,0,1.2
315,Tim Frazier,POR,24,11,3,8,21.8,5.2,1.9,5.5,1.5,441,0.9,1.9,0.5,2,5.5,2.3,0.7,0,2.4,16.3,1,0,-0.5
314,Kent Bazemore,ATL,25,75,53,22,17.6,5.2,1.9,4.4,1.8,0.6552,0.8,1.3,0.3,2.7,1,1,0.7,0.4,1.7,12.7,0,0,-1.3
313,JaKarr Sampson,PHI,22,74,17,57,15.3,5.2,2,4.7,1.7,0.4148,0.9,1.3,0.5,1.7,1,1,0.5,0.4,1.8,11,0,0,-4.5
312,Anthony Bennett,MIN,22,57,12,45,15.7,5.2,2.2,5.2,0.4,0.1216,0.7,1.1,0.9,2.9,0.8,0.6,0.5,0.3,1.5,12.7,2,0,-5.2
311,Brandon Davies,PHI,23,27,6,21,15.7,5.3,2,5.1,1.3,0.3055,0.9,1.4,1.4,1.7,1.1,1.1,0.7,0.3,2.2,12.3,0,0,-6
310,Elijah Millsap,UTA,27,47,25,22,19.7,5.3,1.7,5.1,1.9,0.5909,1.2,1.8,0.6,2.6,1.2,1.4,1.2,0.3,2.6,14.1,0,0,1.2
309,Ricky Ledo,NYK,22,17,4,13,14.4,5.3,1.9,5.6,1.6,592,0.9,1.3,0.9,1.2,1.1,1.5,0.4,0.1,1.2,9.2,0,0,-3.1
307,Bryce Cotton,UTA,22,15,9,6,10.6,5.3,1.9,4.6,1.3,455,1,1.2,0.2,1,1,0.8,0.3,0,0.4,8.3,0,0,0
307,Chris Andersen,MIA,36,60,27,33,18.9,5.3,2,3.5,0.2,0.0616,1.3,1.9,1.3,3.7,0.7,0.7,0.4,1,1.5,16.1,1,0,0
306,Justin Hamilton,MIN,25,41,6,35,17.4,5.3,2.1,4.3,0.8,0.2584,1,1.1,1.4,1.9,0.9,0.6,0.7,0.7,1.7,14.1,2,0,-4.3
305,Thabo Sefolosha,ATL,31,52,43,9,18.8,5.3,2,4.8,1.5,0.4815,0.9,1.1,1,3.3,1.4,0.7,1,0.4,1.3,16.2,1,0,3.3
304,Cleanthony Early,NYK,24,39,6,33,16.6,5.4,1.9,5.5,2.2,0.5764,0.9,1.2,0.6,1.9,0.9,1,0.6,0.3,1.5,11.5,0,0,-4.2
303,Shawne Williams,DET,29,63,26,37,17.2,5.4,1.9,4.8,2.8,1008,0.6,0.6,0.6,2.1,0.7,0.5,0.4,0.3,2.1,11.3,1,0,-1.6
302,Drew Gooden,WAS,33,51,31,20,16.9,5.4,2.2,5.4,1.2,468,0.7,0.9,1.4,3,1,0.5,0.4,0.2,1.8,13.3,2,0,0
301,Shelvin Mack,ATL,25,55,37,18,15.1,5.4,2.1,5.3,2.3,0.7245,0.5,0.6,0.1,1.3,2.8,0.9,0.5,0,0.6,12.2,1,0,0.8
300,Sean Kilpatrick,MIN,25,4,2,2,17.9,5.5,1.8,5,3.3,1.0164,1,1,0.3,1.3,1,0.5,0.8,0,0.8,10.6,0,0,4.3
299,Cole Aldrich,NYK,26,61,11,50,16,5.5,2.4,4.9,0,0,0.8,1,1.7,3.9,1.2,1,0.6,1.1,2,18.1,6,0,-4.5
298,Al-Farouq Aminu,DAL,24,74,45,29,18.5,5.6,2,4.8,1.7,0.4658,1.1,1.6,1.5,3.1,0.8,0.7,0.9,0.8,1.9,16.9,4,0,1.4
297,John Jenkins,ATL,24,24,13,11,12.4,5.6,2,4.1,2.2,0.8888,0.7,0.8,0.1,1.5,0.5,0.3,0.4,0,0.6,9.3,0,0,-1
296,Archie Goodwin,PHX,20,41,16,25,13,5.6,1.9,4.9,1,293,1.5,2,0.7,1.1,1.1,1.2,0.4,0.2,1.3,10.2,0,0,-4
